OWNERSHIP_TYPE,BUILDING_USE,LEASED,AGENCY,OWNERNAME,OWNERNAME2,ASSESSMENT,TAX_RATE,ANNUAL_TAX,RES,CONDO_LOT,LOT_SF,BOOK,PAGE,CONDO_REGIME,CONDO_BOOK,CONDO_PAGE,COMMENT_,PART_LOT,WARD,ANC,COMMENCE,EXPIRATION,LEASE,x,y
PRIVATE,CHARTER SCHOOL,Y,PCSB,DC PREPARATORY ACADEMY,,16506810,1.89,0,,N,39293,206,172,,,,DC PREP (CENTRAL OFFICE AND EDGEWOOD ELEMENTARY SCHOOL) PCS,N,5,ANC 5F,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,DC PREPARATORY ACADEMY,,21145180,1.89,0,,N,20777,3296,N,,,,DC PREP (EDGEWOOD MIDDLE) PCS,N,5,ANC 5F,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,WASHINGTON YU YING PUBLIC CHARTER SCHOOL,,15561810,1.89,0,,N,127860,194,166,,,,WASHINGTON YU YING PCS,N,5,ANC 5A,,,N,,
PRIVATE,RESIDENTIAL,N,DHCD,HAWAIIAN ASSOCIATES LP & DISTRICT OF COLUMIA,,15208320,0.85,113048.3,,N,127575,,,,,,HAWAII AN GARDEN APARTMENTS.  MULTIPLE ADDRESSES,N,5,ANC 5A,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,D.C HEBREW LANGUAGE CHARTER SCHOOL,,6946410,1.77,0,,N,24354,3680,R,,,,SELA PCS,N,4,ANC 4B,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,FRIENDSHIP PUBLIC CHARTER SCHOOL INC,,10108950,1.89,0,,N,51632,159,175,,,,HOPE COMMUNITY PCS – LAMOND,N,4,ANC 4B,,,N,,
PRIVATE,OFFICE,Y,ODR,INTRANGIENCE GROUP II LLC,,8057890,1.77,142624.66,,N,6827,214,168,,,,"Wholistic Services, Inc.  Floors 1-4",N,5,ANC 5B,2/22/2023,8/30/2033,FILE_ID: 0223231,,
PRIVATE,OFFICE,Y,CFSA,INTRANGIENCE GROUP LLC,,5544800,1.77,98142.96,,N,9357,208,29,,,,YOUTH SERVICES,N,5,ANC 5B,5/1/2016,2/28/2032,FILE_ID: 0502161,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,CHARTER HOPE DC LLC,,17896490,1.89,338243.66,,N,34033,3781,K,,,,HOPE COMMUNITY PCS – TOLSON,N,5,ANC 5F,,,N,,
PRIVATE,SHELTER,Y,DHS,JERMAL'S SPRINGWORKS LLC,ADAMS REED LLC,10677380,1.89,201802.48,,N,60369,,,,,,VIRGINIA WILLIAMS FAMILY RESOURCE CENTER (HOMELESS SERVICES).  MULTIPLE ADDRESSES,N,5,ANC 5B,12/31/2013,1/30/2025,FILE_ID: 0301,,
PRIVATE,OFFICE,Y,DDS / ODAR,THE PATRICIA YUEN LIFE INSURANCE TRUST,,7285540,1.77,128954.06,,N,73374,,16,,,,DC SOCIAL SECURITY FIELD OFFICE  MULTIPLE AGENCIES.,N,5,ANC 5C,,,N,,
PRIVATE,OFFICE,Y,MPD / DCFEMS,PROVIDENCE HOSPITAL,,116551420,1.89,2202821.84,,N,898661,3834,X,,,,POLICE AND FIRE CLINIC  MULTIPLE AGENCIES.,N,5,ANC 5A,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,MUNDO VERDE BILINGUAL PUBLIC CHARTER SCHOOL,,27821510,1.89,0,,N,34900,3840,I,,,,POTOMAC PREPARATORY PCS,N,5,ANC 5A,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,ELSIE WHITLOW STOKES COMMUNITY FREEDOM PUBLIC CHARTER SCHOOL,,11777000,1.89,0,,N,93250,203,6,,,,ELSIE WHITLOW STOKES COMMUNITY FREEDOM PCS,N,5,ANC 5B,,,N,,
PRIVATE,OFFICE,Y,DMV,BRENTWOOD SQUARE SHOPPING CENTER LLC,,8972590,1.77,158814.84,,N,85360,SUB,157,,,,BRENTWOOD ROAD TEST OFFICE/COMMERCIAL DRIVER'S LICENSE CENTER.  MULTIPLE ADDRESSES,N,5,ANC 5C,2/14/2002,5/30/2021,FILE_ID: 0111,,
PRIVATE,OFFICE,Y,DOES,GH WASHINGTON LLC,,4497790,1.65,74213.54,,N,15072,160,11,,,,FRANKLIN STREET COMMUNITY RESOURCE AND REFERRAL CENTER (CRRC). MULTIPLE ADDRESSES,N,5,ANC 5B,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,ROMAN CATHOLIC ARCHBISHOP OF WASHINGTON,,6469940,1.77,0,,N,62979,3593,Q,,,,CENTER CITY PCS - TRINIDAD,N,5,ANC 5D,,,N,,
PRIVATE,OFFICE,Y,DPW,AP DC TOMATO'S L.L.C,,14989470,1.89,283300.98,,N,79094,213,155,,,,DPW SOLID WASTE MANAGEMENT.  LEASED BUILDING.  MULTIPLE ADDRESSES,N,5,ANC 5D,,,N,,
PRIVATE,OFFICE / PARKING LOT,Y,DPW,"RLIF EAST 6, LLC",,13935010,1.89,263371.7,,N,153793,215,192,,,,DEPARTMENT OF PUBLIC WORKS (DPW) BRYANT STREET BOOTING AND IMPOUNDMENT LOT,N,5,ANC 5C,3/31/2022,3/31/2037,FILE_ID: 0401221,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,ACADEMY OF HOPE ADULT PUBLIC CHARTER SCHOOL,,2701490,1.65,0,,N,33200,,,,,,TREE OF LIFE PCS,N,5,ANC 5C,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,GENERAL ASSEMBLY OF THE CHRISTIAN CHURCH,,5662380,1.77,0,,N,46848,150,114,,,,LATIN AMERICAN MONTESSORI (LAMB) PCS,N,5,ANC 5B,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,2146 24TH PL B&B LLC,,4230710,1.65,69806.72,,N,39598,175,149,,,,THE CHILDREN'S GUILD DC PCS,N,5,ANC 5C,,,N,,
PRIVATE,OFFICE,Y,DOC,JAMAL'S CISCO KID LLC,,5638680,1.77,99804.64,,N,53067,191,68,,,,TRAINING FACILITY,N,5,ANC 5C,3/22/2018,3/30/2033,FILE_ID: 1219161,,
PRIVATE,WAREHOUSE,M,DGS,DLY ADAMS PLACE LLC,,2736800,1.65,45157.2,,N,23974,3689,J,,,,"Ideal Electrical Supply, Warehouse.  ID: 0706231 (24357 SF) Commence 7/6/23, Expire 7/31/24; ID: 1009231 (24357 SF) Commence 10/9/23, Expire 7/31/24",N,5,ANC 5C,7/5/2023,7/30/2024,"FILE_ID:  0706231, 1009231",,
PRIVATE,SHELTER,Y,DHS,SALVATION ARMY,,26802420,1.89,0,,N,102809,187,144,,,,Salvation Army Harbor Light Center.  Floors 1-5,N,5,ANC 5C,5/18/2023,5/17/2024,FILE_ID: 0519231,,
PRIVATE,WAREHOUSE,Y,DPR,2424 EVARTS PARTNERS LLC,,3984740,1.65,65748.22,,N,55133,,,,,,DPR WAREHOUSE,N,5,ANC 5C,11/6/2016,4/29/2028,FILE_ID: 1107161,,
PRIVATE,TRANSPORTATION,Y,ORM,NORDLINGER INVESTMENTS CORPORATION,,5046570,1.77,89324.3,,N,70567,185,160,,,,CIRCULATOR BUS DEPOT FACILITY,N,5,ANC 5C,6/30/2018,7/30/2030,FILE_ID: 0627181,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,FRIENDSHIP PUBLIC CHARTER SCHOOL,,5406630,1.77,0,,N,114694,1837,*,,,,FRIENDSHIP (WOODRIDGE ELEMENTARY & MIDDLE SCHOOL) PCS,N,5,ANC 5C,,,N,,
PRIVATE,OFFICE,M,DGS,TERRENO V STREET LLC,,12348180,1.89,233380.6,,N,130964,138,123,,,,"GOVERNMENT MAILS ANNEX, FLOOR 1.  LOT IS PRIVATELY OWNED.  MULTIPLE ADDRESSES.  Additional Lease Commence = 4/17/2020, Expiration = 10/31/2020.  FileIDs:  0923191, 0417201",N,5,ANC 5C,9/30/2022,9/29/2029,"FILE_ID: 0923191, 0417201",,
PRIVATE,OFFICE,Y,DGS,TERRENO V STREET LLC,,7380290,1.77,130631.14,,N,100080,140,40,,,,"US Post Office Government Annex, Government Mails, Floor 1",N,5,ANC 5C,9/30/2022,9/29/2029,FILE_ID: 1001222,,
PRIVATE,WAREHOUSE,M,DCFEMS,TERRENO V STREET LLC,,8505910,1.77,150554.62,,N,114239,134,121,,,,"AMERICAN MEDICAL RESPONSE.  ID: 0923191 (25541 SF) Commence 9/23/19, Expire 9/30/29; ID: 0801221 (16500 SF) Commence 5/5/22, Expire 5/31/32",N,5,ANC 5C,9/22/2019,9/29/2029,"FILE_ID: 0923191, 0801221",,
PRIVATE,OFFICE,M,MPD,ITT WASHINGTON DC CORPORATION CENTER LLC,,21525240,1.89,406827.04,,N,374719,178,162,,,,"EQUIPMENT AND SUPPLIES BRANCH, 2 FLOORS.  MULTIPLE ADDRESSES.  ID: 1101 (102868 SF) Commence 3/25/11, Expire 3/25/26; ID: 0711221 (131866 SF) Commence 9/1/23, Expire 8/31/35",N,5,ANC 5C,3/24/2011,3/24/2026,"FILE_ID: 1101, 0711221",,
PRIVATE,PUBLIC SCHOOL,Y,DCPS,TERRENO V STREET LLC,,8856640,1.77,156762.54,,N,73425,,,,,,FOOD SERVICES AND SECURITY DIVISION,N,5,ANC 5C,11/28/2016,11/29/2026,FILE_ID: 1129161,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,FRIENDSHIP PUBLIC CHARTER SCHOOL,,14737130,1.89,0,,N,159217,3561,M,,,,FRIENDSHIP (BLOW-PIERCE ELEMENTARY & MIDDLE SCHOOL) PCS,N,7,ANC 7D,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,WM W BAUM ROMAN CATHOLIC ARCHBISHOP OF WASHINGTON,,9844520,1.77,0,,N,82235,166,92,,,,APPLETREE EARLY LEARNING PCS - OKLAHOMA AVE,N,7,ANC 7D,,,N,,
PRIVATE,OFFICE,Y,DGS,"CEDAR-SENATOR SQUARE, LLC",,85980810,1.89,1349460.1,,N,65954,3889,R,,,,"Department of General Services (DGS) Headquarter, Portion of Floor 1, Floors 2 - 6",N,7,ANC 7F,7/22/2020,2/27/2044,FILE_ID: 0630201,,
PRIVATE,OFFICE,Y,CFSA / OCTO,ERP SPV LLC,,25717133,1.89,486053.82,,N,293661,221,147,,,,EAST RIVER FAMILY SUPPORT COLLABORATIVE (3917 MINNESOTA AVENUE NE) / OCTO DATA CENTER (3919 BENNING ROAD NE),N,7,ANC 7F,4/30/2012,11/29/2021,FILE_ID: 8710,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,CESAR CHAVEZ PUBLIC CHARTER SCHOOLS FOR PUBLIC POLICY,,20947850,1.89,0,,N,88412,,,,,,CESAR CHAVEZ PCS FOR PUBLIC POLICY - PARKSIDE MIDDLE & HIGH SCHOOL,N,7,ANC 7D,,,N,,
PRIVATE,OFFICE,Y,DBH,WILLIAM G BASILIKO TRUSTEE,JOHN M SWAGART JR TRUSTEE,1749630,1.65,28868.9,,N,16425,153,69,,,,MBI HEALTH SERVICES.  LEASE BUILDING,N,7,ANC 7C,,,N,,
PRIVATE,FIRE STATION,Y,DCFEMS,VALOR MINNESOTA LLC,,0,0,0,,N,55517,3782,M,,,,ENGINE COMPANY 27,N,7,ANC 7C,6/26/2018,3/30/2036,FILE_ID: 0627182,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,INTEGRATED DESIGN AND ELECTRONICS ACADEMY PUBLIC CHARTER SCHOOL,,24580870,1.89,0,,N,141532,206,2,,,,IDEA PCS,N,7,ANC 7C,,,N,,
PRIVATE,OFFICE,Y,DMV,CEDARHILL ASSOCIATES LLC,,5226650,1.77,92511.72,,N,34080,187,101,,,,DEANWOOD ROAD TEST / CDL CENTER,N,7,ANC 7C,1/13/2020,6/29/2031,FILE_ID: 0114201,,
PRIVATE,COMMUNITY GARDEN / PARK,Y,DPR,KT ESTATES LLC,,2446840,1.65,40372.86,,N,9555,180,124,,,,LEDERER GARDENS,N,7,ANC 7C,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,KIPP DC,,40529020,1.89,0,,N,206219,205,2,,,,"KIPP DC (ARTS AND TECHNOLOGY ACADEMY, QUEST ACADEMY, VALOR ACADEMY) PCS",N,7,ANC 7C,,,N,,
PRIVATE,PUBLIC HOUSING,N,DCHA,EAST CAPITOL FAMILY RENTAL L P & DISTRICT OF COLUMBIA,,480200,0.85,0,,N,2550,201,10,,,,CAPITOL GATEWAY,N,7,ANC 7C,,,N,,
PRIVATE,PUBLIC HOUSING,N,DCHA,EAST CAPITOL FAMILY RENTAL LP & DISTRICT OF COLUMBIA,,1063620,0.85,0,,N,6899,201,10,,,,CAPITOL GATEWAY,N,7,ANC 7C,,,N,,
PRIVATE,PUBLIC HOUSING,N,DCHA,EAST CAPITOL FAMILY RENTAL LP & DISTRICT OF COLUMBIA,,1047130,0.85,0,,N,6531,201,10,,,,CAPITOL GATEWAY,N,7,ANC 7C,,,N,,
PRIVATE,PUBLIC HOUSING,N,DCHA,EAST CAPITOL FAMILY RENTAL LLC & DISTRICT OF COLUMBIA,,468080,0.85,0,,N,3002,201,10,,,,CAPITOL GATEWAY,N,7,ANC 7C,,,N,,
PRIVATE,EMERGENCY FAMILY SHELTER,N,DHS,COALITION FOR THE HOMELESS INC,,1881760,0.85,0,,N,16000,146,153,,,,50TH STREET SHORT TERM FAMILY HOUSING,N,7,ANC 7E,,,N,,
PRIVATE,SHELTER,Y,DHS,MF BLUE VALLEY APARTMENTS LLC,,2601380,0.85,22111.74,,N,32000,149,42,,,,BASS PLACE FAMILY EMERGENCY HOUSING,N,7,ANC 7E,,,N,,
PRIVATE,OFFICE,Y,DMV,"4525 BENNING ROAD, LLC",,5066950,1.77,89685.02,,N,27102,165,150,,,,BENNING RIDGE SERVICE CENTER,N,7,ANC 7E,9/7/2014,2/27/2031,FILE_ID: 0908141,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,KIP DC,,35656500,1.89,0,,N,76961,216,63,,,,"KIPP DC (PROMISE ACADEMY, KEY ACADEMY, LEAP ACADEMY) PCS",N,7,ANC 7E,,,N,,
PRIVATE,RECREATION CENTER,Y,DPR,JOHNSON MEMORIAL BAPTIST CHURCH INCORPORATED,,1860090,1.65,0,,N,29332,165,83,,,,RIDGE ROAD RECREATION CENTER.,N,7,ANC 7E,,,N,,
PRIVATE,OFFICE,Y,DHS,PENN-BAMA LLC,,8707530,1.77,154123.28,,N,37724,3157,H,,,,FORT DAVIS ECONOMIC SECURITY ADMINISTRATION (ESA) SERVICE CENTER.  MULTIPLE ADDRESSES,N,7,ANC 7B,1/31/2013,10/30/2027,FILE_ID: 9806,,
PRIVATE,OFFICE,Y,DMV,3200 PENN AVE PJV LLC,,7080380,1.77,125322.74,,N,40622,3660,*,,,,PENN BRANCH SERVICE CENTER.  MULTIPLE ADDRESSES,N,7,ANC 7B,7/7/2019,3/30/2030,N,,
PRIVATE,POLICE STATION,Y,MPD,COMMUNITY FOUNDATION FOR THE NATIONAL CAPITAL REGION,,2548490,1.65,0,,N,7570,3400,D,,,,6TH DISTRICT SUBSTATION,N,7,ANC 7B,1/31/2008,1/30/2025,GROSS / SUBLEASE,,
PRIVATE,OFFICE,Y,DHCD,HERMES INVESTMENT LLC,,20670930,1.89,390680.58,,N,27207,,,,,,DHCD HOUSING RESOURCE CENTER,N,8,ANC 8A,4/24/2008,4/23/2018,FILE_ID: 0801,,
PRIVATE,RESIDENTIAL,N,DHCD,PARK NAYLOR ASSOCIATES LTD & DISTRICT OF COLUMBIA,,3936410,0.85,16592.26,,N,65556,142,65,,,,PARK NAYLOR APARTMENTS.  MULTIPLE ADDRESSES,N,7,ANC 7B,,,N,,
PRIVATE,RESIDENTIAL,N,DHCD,PARK NAYLOR ASSOCIATES LTD & DISTRICT OF COLUMBIA,,3936410,0.85,11006.4,,N,87266,142,65,,,,PARK NAYLOR APARTMENTS.  MULTIPLE ADDRESSES,N,7,ANC 7B,,,N,,
PRIVATE,RESIDENTIAL,N,DHCD,PARK NAYLOR ASSOCIATES LTD & DISTRICT OF COLUMBIA,,3936410,0.85,11876.8,,N,83883,142,65,,,,PARK NAYLOR APARTMENTS.  MULTIPLE ADDRESSES,N,7,ANC 7B,,,N,,
PRIVATE,RESIDENTIAL,N,DHCD,PARK NAYLOR ASSOCIATES LTD & DISTRICT OF COLUMBIA,,1919000,0.85,4867.7,,N,75764,142,65,,,,PARK NAYLOR APARTMENTS.  MULTIPLE ADDRESSES,N,7,ANC 7B,,,N,,
PRIVATE,RESIDENTIAL,N,DHCD,PARK NAYLOR ASSOCIATES LTD & DISTRICT OF COLUMBIA,,3936410,0.85,5616.78,,N,83998,142,65,,,,PARK NAYLOR APARTMENTS.  MULTIPLE ADDRESSES,N,7,ANC 7B,,,N,,
PRIVATE,RESIDENTIAL,N,DHCD,PARK NAYLOR ASSOCIATES LTD & DISTRICT OF COLUMBIA,,3936410,0.85,14133.04,,N,75114,142,65,,,,PARK NAYLOR APARTMENTS.  MULTIPLE ADDRESSES,N,7,ANC 7B,,,N,,
PRIVATE,SHELTER,Y,DHS,3004 30TH STREET SE LLC,,784780,0.85,6670.64,,N,6031,119,94,,,,30TH STREET FAMILY EMERGENCY HOUSING,N,8,ANC 8B,,,N,,
PRIVATE,CORRECTIONAL,Y,DOC,2844 LANGSTON PL SE LLC,,1374280,0.85,11681.38,,N,11232,136,140,,,,HOPE VILLAGE,N,8,ANC 8B,,,N,,
PRIVATE,CORRECTIONAL,Y,DOC,2912-20 LANGSTON PL SE LLC,,2297190,0.85,19526.12,,N,20578,150,14,,,,HOPE VILLAGE,N,8,ANC 8B,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,LAUNCHPAD DEVELOPMENT ONE DC LLC,,23776910,1.89,0,,N,122242,209,159,,,,ROCKETSHIP PCS.  MULTIPLE ADDRESSES,N,8,ANC 8B,,,N,,
PRIVATE,DEVELOPMENT SITE,N,DHCD,"GOPAUL, SPENCER",,529000,0.85,4496.5,,N,2684,213,71,,,,HISTORIC ANACOSTIA REDEVELOPMENT,N,8,ANC 8A,,,N,,
PRIVATE,OFFICE,Y,DDS / TC / ODAR,ANACOSTIA PROFESSIONAL BUILDING REVOCABLE TRUST,,22676670,1.89,428589.06,,N,50864,181,119,,,,DC SOCIAL SECURITY FIELD OFFICE / DC TAXICAB COMMISSION  MULTIPLE AGENCIES.,N,8,ANC 8A,,,N,,
PRIVATE,OFFICE,Y,DHS / OEOA / ORCA,2100 MARTIN LUTHER KING ASSOCIATES LIMITED PARTNERSHIP,,19373460,1.89,366158.4,,N,28507,,,,,,ANACOSTIA ECONOMIC SECURITY ADMINISTRATION (ESA) SERVICE CENTER/EX-OFFENDER AFFAIRS / OFFICE ON RETURNING CITIZEN AFFAIRS  MULTIPLE AGENCIES.,N,8,ANC 8A,2/24/2019,12/30/2034,FILE_ID: 0804171,,
PRIVATE,OFFICE,Y,DYRS / DCLB,GEORGE T CURTIS III TRUSTEE,,17241000,1.89,325854.9,,N,33735,3660,C,,,,DEPARTMENT OF YOUTH REHABILITATION SERVICES / DC LOTTERY AND CHARITABLE GAMES BOARD  MULTIPLE AGENCIES.,N,8,ANC 8A,6/1/2014,12/30/2025,FILE_ID: 0810,,
PRIVATE,OFFICE,M,DOH,2201 SHANNON PLACE LLC,,2451220,5,122561,,N,60734,219,80,,,,"Department of Health (DOH) Headquarters, DC Health.  Floors 1 to 6 (all or parts); Part of Floors 1 and 3.  ID: 0630211 (205000 SF) Commence 6/30/21, Expire 12/31/36; ID: 1127231 (18023 SF) Commence 11/27/23, Expire 2/28/39",N,8,ANC 8A,6/29/2021,12/30/2036,"FILE_ID: 0630211, 1127231",,
PRIVATE,OFFICE,Y,DCLB,GEORGE T CURTIS III TRUSTEE,,33861460,1.89,639981.6,,N,18986,,,,,,DC LOTTERY AND CHARITABLE GAMES CONTROL BOARD,N,8,ANC 8A,12/11/2014,12/10/2029,FILE_ID: 0806,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,THURGOOD MARSHALL ACADEMY,,9767610,1.77,0,,N,51926,199,6,,,,THURGOOD MARSHALL ACADEMY PCS,N,8,ANC 8A,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,CEDAR TREE ACADEMY PUBLIC CHARTER SCHOOL,,3388490,5,84712.25,,N,6500,3660,C,,,,"COMMUNITY COLLEGE PREPARATORY ACADEMY PCS, FLOOR 1 & 2",N,8,ANC 8C,3/28/2023,6/29/2033,FILE_ID: 0329231,,
PRIVATE,DEVELOPMENT SITE,N,DHCD,2228 MLK LLC,,11010040,0.85,93585.34,,N,41468,212,8,,,,MAPLE VIEW FLATS (BIG K) REDEVELOPMENT.  HISTORIC PRESERVATION,N,8,ANC 8A,,,N,,
PRIVATE,SHELTER,Y,DHS,19TH STREET PARTNERS LLC,,2124100,0.85,18054.86,,N,18000,156,96,,,,COALITION FOR THE HOMELESS (VALLEY PLACE).  LEASE BUILDING.  EMERGENCY SHELTER FOR HOMELESS.  MULTIPLE ADDRESSES,N,8,ANC 8A,8/8/2018,9/29/2031,FILE_ID: 0809181,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,CEDAR TREE ACADEMY PUBLIC CHARTER SCHOOL,,14291050,1.89,0,,N,77530,194,11,,,,CEDAR TREE ACADEMY PCS,N,8,ANC 8A,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,DOUGLAS KNOLL COOPERATIVE LP,,1196510,0.85,0,,N,20249,207,183,,,,APPLE TREE EARLY LEARNING PCS - DOUGLAS KNOLL (SOUTHEAST),N,8,ANC 8E,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,PARKLANDS/NEW IMAGE LLC,,1930300,1.65,31849.96,,N,21633,190,8,,,,APPLE TREE EARLY LEARNING PCS - PARKLANDS (SOUTHEAST),N,8,ANC 8E,,,N,,
PRIVATE,LIBRARY,Y,DCPL,"CHR,LLC",,5042860,1.77,89258.62,,N,48017,3826,C,,,,PARKLANDS-TURNER LIBRARY.  LOT IS PRIVATELY OWNED,N,8,ANC 8E,5/13/2009,5/12/2021,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,PARKSIDE TERRACE DEVELOPMENT LLC,,27177180,0.85,0,,N,303911,149,190,,,,ACADEMY OF HOPE PCS - SOUTHEAST,N,8,ANC 8E,,,N,,
PRIVATE,SHELTER,Y,DHS,BROOKS OAK HILL PROPERTIES LLC,,1912860,0.85,16259.32,,N,40079,142,26,,,,10TH PLACE FAMILY EMERGENCY HOUSING,N,8,ANC 8C,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,FRIENDSHIP PUBLIC CHARTER SCHOOL INC,,10051500,1.89,0,,N,27480,206,107,,,,FRIENDSHIP PCS - TECHNOLOGY PREPARATORY ACADEMY,N,8,ANC 8C,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,FRIENDSHIP PUBLIC CHARTER SCHOOL INC,,6635350,1.77,0,,N,77576,3419,S,,,,FRIENDSHIP PCS - SOUTHEAST ELEMENTARY ACADEMY,N,8,ANC 8C,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,ROMAN CATHOLIC ARCHBISHOP WILLIAM W BAUM,,4358520,1.65,0,,N,17514,3631,U,,,,CENTER CITY PCS - CONGRESS HEIGHTS,N,8,ANC 8C,,,N,,
PRIVATE,OFFICE,Y,DOC,CONGRESS HEIGHTS PARISH PROTESTANT EPISCOPAL CHURCH,CONVENTION OF THE PROTESTANT ESPISCOPAL CHURCH OF*,2337080,1.65,0,,N,22859,220,11,,,,"The READY Center, Department of Corrections (DOC), 1st, 2nd & 3rd Floors",N,8,ANC 8C,5/31/2023,5/30/2025,FILE_ID: 0517231,,
PRIVATE,EMERGENCY FAMILY SHELTER,N,DHS,COMMUNITY OF HOPE INC,,1570640,0.85,0,,N,19081,123,188,,,,HOPE APARTMENTS SHORT TERM FAMILY HOUSING,N,8,ANC 8D,,,N,,
PRIVATE,RESIDENTIAL,Y,DCHA,WAYNE PLACE PARTNERS LLC,,2169520,0.85,18440.92,,N,31465,119,143,,,,WAYNE PLACE TRANSITIONAL YOUTH HOUSING.  MULTIPLE ADDRESSES,N,8,ANC 8D,3/24/2015,3/30/2025,FILE_ID: 0325151,,
PRIVATE,PUBLIC HOUSING,Y,DCHA,HIGHLAND RESIDENTIAL LP,,7163050,0.85,0,,N,122978,133,35,,,,HIGHLAND DWELLINGS.  MULTIPLE ADDRESSES,N,8,ANC 8E,,,N,,
PRIVATE,PUBLIC HOUSING,Y,DCHA,HIGHLAND RESIDENTIAL LP,,12193280,0.85,0,,N,205293,133,35,,,,HIGHLAND DWELLINGS.  MULTIPLE ADDRESSES,N,8,ANC 8E,,,N,,
PRIVATE,PUBLIC HOUSING,Y,DCHA,HIGHLAND RESIDENTIAL LP,,2501610,0.85,0,,N,58451,153,110,,,,HIGHLAND DWELLINGS.  MULTIPLE ADDRESSES,N,8,ANC 8E,,,N,,
PRIVATE,PUBLIC HOUSING,Y,DCHA,HIGHLAND RESIDENTIAL LP,,2342830,0.85,0,,N,36756,150,53,,,,HIGHLAND DWELLINGS.  MULTIPLE ADDRESSES,N,8,ANC 8E,,,N,,
PRIVATE,PUBLIC HOUSING,Y,DCHA,HIGHLAND RESIDENTIAL LP,,543020,1.65,0,,N,9900,150,53,,,,HIGHLAND DWELLINGS.  MULTIPLE ADDRESSES,N,8,ANC 8E,,,N,,
PRIVATE,PUBLIC HOUSING,Y,DCHA,HIGHLAND RESIDENTIAL LP,,1163740,0.85,0,,N,26488,150,52,,,,HIGHLAND DWELLINGS.  MULTIPLE ADDRESSES,N,8,ANC 8E,,,N,,
PRIVATE,PUBLIC HOUSING,Y,DCHA,HIGHLAND RESIDENTIAL LP,,2012500,0.85,0,,N,36755,150,52,,,,HIGHLAND DWELLINGS.  MULTIPLE ADDRESSES,N,8,ANC 8E,,,N,,
PRIVATE,PUBLIC HOUSING,Y,DCHA,HIGHLAND RESIDENTIAL LP,,904090,1.65,0,,N,18874,150,52,,,,HIGHLAND DWELLINGS.  MULTIPLE ADDRESSES,N,8,ANC 8E,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,ACCESS HOUSING INC (DC),,3481290,1.65,0,,N,33598,193,191,,,,EARLY CHILDHOOD ACADEMY PCS - WALTER WASHINGTON,N,8,ANC 8E,,,N,,
PRIVATE,OFFICE,Y,DHS,WASHINGTON DC I SGF LLC,,8758020,1.77,155016.96,,N,29938,3867,C,,,,THE CHILD CARE SERVICE DIVISION (CCSD),N,8,ANC 8D,8/9/2015,12/10/2026,FILE_ID: 0007-B,,
PRIVATE,RESIDENTIAL,Y,DHCF / DHS,SOUTH CAPITOL IMPROVEMENTS LLC,,15316760,1.89,4451.36,,N,63451,3868,C,,,,ECONOMIC SECURITY ADMINISTRATION CONGRESS HEIGHTS SERVICE CENTER / SOUTH CAPITOL STREET APARTMENTS.  ALL ADDRESSES ARE RETIRED  MULTIPLE AGENCIES.,N,8,ANC 8D,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,"FRIENDSHIP PUBLIC CHARTER SCHOOL, INC.",,24385930,1.89,0,,N,120039,,,,,,IDEAL ACADEMY,N,4,ANC 4B,,,N,,
PRIVATE,CHARTER SCHOOL,Y,PCSB,THEOLOGICAL COLLEGE INC,,25694420,1.89,0,,N,214742,,,,,,APPLETREE EARLY LEARNING PUBLIC CHARTER SCHOOL AT THEOLOGICAL COLLEGE,N,5,ANC 5F,,,N,,
